fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Jose Aldo,1589,1549,1573,0.078947368,0.053,16.921,0.171,0.053,34.75,0.079,16.921,0.171,0.053,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,76,22,3.45
TJ Dillashaw,1588,1531,1565,0.18,0.24,22.46,0.46,0.24,65.12,0.18,22.46,0.46,0.24,0.0,8,3,0,1123,2732,21,75,5.09,1.56,0.61,3.47,0.82,50,18,2.78
Natalia Silva,1588,1483,1546,0.125,0.0,24.125,0.125,0.0,16.563,0.125,24.125,0.125,0.0,0.063,5,7,0,386,812,2,8,5.19,0.4,0.4,2.35,0.0,16,6,2.67
Maycee Barber,1588,1535,1567,0.0,0.036,20.536,0.429,0.036,59.179,0.0,20.536,0.429,0.036,0.179,6,2,0,687,1293,1,32,4.7,1.44,0.0,2.9,0.1,28,11,2.55
Joanna Jedrzejczyk,1586,1526,1562,0.01754386,0.018,30.772,0.088,0.018,22.088,0.018,30.772,0.088,0.018,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,57,15,3.8
Erin Blanchfield,1586,1535,1566,0.0,0.286,25.238,0.667,0.286,103.429,0.0,25.238,0.667,0.286,0.0,2,4,3,591,1332,10,44,5.24,1.86,0.0,4.21,0.8,21,7,3.0
Derek Brunson,1586,1528,1563,0.139534884,0.163,15.07,0.837,0.163,97.0,0.14,15.07,0.837,0.163,0.023,12,4,7,688,1452,13,123,3.51,3.14,0.54,3.05,0.61,43,21,2.05
Yair Rodriguez,1586,1513,1557,0.093023256,0.209,21.256,0.209,0.209,22.488,0.093,21.256,0.209,0.209,0.07,6,4,5,914,1974,8,33,4.65,0.69,0.31,3.99,0.69,43,15,2.87
Sean Brady,1586,1536,1566,0.041666667,0.292,19.042,1.083,0.292,115.875,0.042,19.042,1.083,0.292,0.042,3,5,3,457,830,2,50,4.09,3.49,0.13,3.18,0.94,24,8,3.0
Rafael Dos Anjos,1586,1552,1572,0.063063063,0.18,16.378,0.613,0.18,73.919,0.063,16.378,0.613,0.18,0.027,5,11,0,1822,3871,45,191,3.48,1.95,0.2,3.23,0.57,111,35,3.17
Umar Nurmagomedov,1586,1517,1558,0.066666667,0.133,21.267,1.267,0.133,127.467,0.067,21.267,1.267,0.133,0.0,0,7,5,319,503,6,38,4.46,3.98,0.21,1.36,0.42,15,6,2.5
