fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Naoki Inoue,1499,1469,1487,0.0,0.833,18.333,0.0,0.833,92.167,0.0,18.333,0.0,0.833,0.167,0,0,0,110,312,13,3,3.67,0.0,0.0,3.37,2.5,6,2,3.0
Shamil Gamzatov,1499,1486,1494,0.0,0.0,24.75,0.0,0.0,2.75,0.0,24.75,0.0,0.0,0.0,5,5,0,99,205,13,3,5.35,0.0,0.0,3.46,0.0,4,2,2.0
Antonio Carvalho,1499,1486,1494,0.125,0.0,13.0,0.0,0.0,18.375,0.125,13.0,0.0,0.0,0.0,0,0,0,104,353,13,3,3.03,0.0,0.44,3.62,0.0,8,4,2.0
Siyar Bahadurzada,1499,1485,1493,0.25,0.1,13.2,0.4,0.1,47.0,0.25,13.2,0.4,0.1,0.05,14,6,0,264,648,5,13,2.91,1.32,0.83,3.23,0.33,20,8,2.5
Luke Jumeau,1499,1480,1491,0.0,0.0,14.667,0.083,0.0,19.5,0.0,14.667,0.083,0.0,0.0,5,4,0,176,403,13,1,2.93,0.25,0.0,3.17,0.0,12,4,3.0
Mike Jackson,1499,1499,1499,0.0,0.0,15.833,0.167,0.0,75.833,0.0,15.833,0.167,0.0,0.0,0,0,0,95,166,1,3,4.49,0.71,0.0,3.73,0.0,6,4,1.5
Noad Lahat,1499,1499,1499,0.0,0.667,11.778,0.667,0.667,77.222,0.0,11.778,0.667,0.667,0.444,0,0,0,106,226,13,23,2.79,2.37,0.0,1.47,2.37,9,4,2.25
Mackens Semerzier,1499,1503,1500,0.0,0.2,13.6,0.8,0.2,92.6,0.0,13.6,0.8,0.2,0.0,0,0,0,163,362,13,16,2.91,2.14,0.0,3.48,2.14,5,3,1.67
Mounir Lazzez,1499,1499,1499,0.0,0.0,31.25,0.5,0.0,49.5,0.0,31.25,0.5,0.0,0.0,8,0,5,250,452,4,7,7.49,1.8,0.0,5.42,0.0,8,4,2.0
Ange Loosa,1499,1445,1477,0.0,0.0,27.857,0.857,0.0,61.143,0.0,27.857,0.857,0.0,0.0,5,1,6,454,1020,13,34,5.6,2.41,0.0,6.68,0.19,14,5,2.8
Lyoto Machida,1499,1505,1501,0.222222222,0.127,11.365,0.222,0.127,42.556,0.222,11.365,0.222,0.127,0.032,0,0,0,964,1810,13,46,2.59,1.21,0.69,1.57,0.4,63,24,2.63
Sai Wang,1499,1483,1492,0.0,0.0,15.833,0.0,0.0,109.833,0.0,15.833,0.0,0.0,0.333,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,6,2,3.0
Nick Catone,1499,1481,1492,0.0,0.143,9.333,1.095,0.143,96.238,0.0,9.333,1.095,0.143,0.048,0,0,0,196,439,13,52,2.11,3.71,0.0,2.32,0.48,21,8,2.63
Gabriel Benitez,1499,1486,1493,0.125,0.25,22.844,0.063,0.25,10.469,0.125,22.844,0.063,0.25,0.063,9,10,12,731,1754,1,4,5.26,0.22,0.43,4.49,0.86,32,15,2.13
Montserrat Rendon,1499,1499,1499,0.0,0.0,15.667,1.0,0.0,102.5,0.0,15.667,1.0,0.0,0.0,0,0,0,94,329,3,11,3.13,3.0,0.0,3.9,0.0,6,2,3.0
Ivan Jorge,1499,1468,1486,0.0,0.2,16.4,0.5,0.2,97.9,0.0,16.4,0.5,0.2,0.1,0,0,0,164,332,13,31,3.41,1.56,0.0,2.91,0.62,10,4,2.5
Tatsuya Kawajiri,1499,1460,1483,0.0,0.118,8.0,1.059,0.118,147.706,0.0,8.0,1.059,0.118,0.118,0,0,0,574,1277,13,140,2.04,3.63,0.21,2.01,1.12,17,6,2.83
Shauna Bannon,1499,1484,1493,0.0,0.0,21.833,0.0,0.0,12.5,0.0,21.833,0.0,0.0,0.0,2,0,1,131,313,13,4,4.37,0.0,0.0,3.77,0.0,6,2,3.0
Ramiz Brahimaj,1498,1471,1488,0.083333333,0.417,9.333,0.417,0.417,41.25,0.083,9.333,0.417,0.417,0.0,0,10,10,112,250,4,14,2.26,1.51,0.3,4.04,1.51,12,6,2.0
Joanne Wood,1498,1492,1496,0.076923077,0.103,34.077,0.487,0.103,53.949,0.077,34.077,0.487,0.103,0.051,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,39,17,2.29
Bethe Correia,1498,1493,1496,0.0,0.0,20.121,0.121,0.0,35.788,0.0,20.121,0.121,0.0,0.061,2,0,0,664,1515,3,22,4.37,0.39,0.0,4.93,0.0,33,12,2.75
John Gunderson,1498,1468,1486,0.0,0.667,5.222,0.556,0.667,91.222,0.0,5.222,0.556,0.667,0.0,0,0,0,47,171,13,15,1.04,1.67,0.0,1.71,2.0,9,3,3.0
Paul Taylor,1498,1476,1489,0.166666667,0.167,20.625,0.083,0.167,36.667,0.167,20.625,0.083,0.167,0.083,0,0,0,495,1033,13,8,4.44,0.27,0.54,4.47,0.54,24,9,2.67
Mitch Gagnon,1498,1482,1492,0.166666667,0.556,11.944,0.333,0.556,56.778,0.167,11.944,0.333,0.556,0.111,1,10,0,215,463,6,24,2.76,1.16,0.58,2.21,1.93,18,8,2.25
Tresean Gore,1498,1484,1493,0.0,0.429,11.143,0.857,0.429,41.0,0.0,11.143,0.857,0.429,0.0,2,3,3,78,143,2,8,3.0,3.46,0.0,5.88,1.73,7,4,1.75
Ricardo Abreu,1498,1485,1493,0.4,0.2,16.0,0.6,0.2,52.2,0.4,16.0,0.6,0.2,0.0,0,0,0,80,252,13,7,3.79,2.13,1.42,3.98,0.71,5,2,2.5
Alessandro Costa,1498,1469,1487,0.2,0.0,18.2,0.1,0.0,16.7,0.2,18.2,0.1,0.0,0.0,4,6,8,227,476,13,8,4.14,0.27,0.82,3.5,0.0,10,4,2.5
Jarjis Danho,1498,1481,1491,0.142857143,0.0,14.286,0.143,0.0,60.429,0.143,14.286,0.143,0.0,0.0,7,0,0,100,198,1,6,3.38,0.51,0.51,5.25,0.0,7,3,2.33
Rong Zhu,1498,1484,1493,0.111111111,0.0,19.556,1.111,0.0,83.444,0.111,19.556,1.111,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,9,3,3.0
Francisco Figueiredo,1498,1473,1488,0.0,0.125,9.125,0.75,0.125,85.25,0.0,9.125,0.75,0.125,0.125,3,8,6,73,118,6,8,2.04,2.51,0.0,2.59,0.42,8,4,2.0
Abubakar Nurmagomedov,1498,1489,1494,0.0,0.0,13.3,0.4,0.0,121.9,0.0,13.3,0.4,0.0,0.0,6,4,8,133,250,1,18,2.78,1.25,0.0,2.61,0.0,10,4,2.5
Nina Nunes,1498,1498,1498,0.0,0.16,21.68,0.08,0.16,34.8,0.0,21.68,0.08,0.16,0.04,4,2,2,542,1200,2,6,4.39,0.24,0.0,3.47,0.49,25,9,2.78
Marcelo Guimaraes,1498,1474,1488,0.0,0.0,21.1,0.6,0.0,93.4,0.0,21.1,0.6,0.0,0.0,0,0,0,211,406,6,43,4.67,1.99,0.0,4.41,0.0,10,4,2.5
Mark Godbeer,1498,1470,1487,0.0,0.0,17.714,0.0,0.0,41.714,0.0,17.714,0.0,0.0,0.143,0,0,0,124,230,13,2,3.97,0.0,0.0,3.3,0.0,7,4,1.75
Krzysztof Soszynski,1497,1501,1499,0.052631579,0.316,15.158,0.158,0.316,67.474,0.053,15.158,0.158,0.316,0.0,0,0,0,288,699,13,11,3.58,0.56,0.19,3.37,1.12,19,9,2.11
Andre Ewell,1497,1501,1499,0.038461538,0.038,20.769,0.115,0.038,10.654,0.038,20.769,0.115,0.038,0.0,7,4,0,540,1349,1,4,4.28,0.36,0.12,4.87,0.12,26,9,2.89
Matthew Semelsberger,1497,1485,1492,0.37037037,0.111,16.63,0.296,0.111,45.556,0.37,16.63,0.296,0.111,0.0,6,1,3,449,1045,3,14,3.77,1.01,1.26,4.24,0.38,27,11,2.45
Mike Wilkinson,1497,1497,1497,0.125,0.25,9.625,0.25,0.25,54.125,0.125,9.625,0.25,0.25,0.125,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,8,4,2.0
Evan Elder,1497,1454,1480,0.181818182,0.182,21.636,0.182,0.182,29.727,0.182,21.636,0.182,0.182,0.273,4,2,4,238,483,13,10,5.02,0.63,0.63,4.79,0.63,11,4,2.75
Elise Reed,1497,1471,1487,0.05,0.0,16.1,0.15,0.0,24.8,0.05,16.1,0.15,0.0,0.05,2,0,1,322,605,13,5,3.5,0.49,0.16,3.15,0.0,20,8,2.5
Ken Stone,1497,1468,1486,0.0,0.167,15.0,0.333,0.167,76.167,0.0,15.0,0.333,0.167,0.0,0,0,0,93,188,13,6,3.85,1.24,0.0,2.9,0.62,6,4,1.5
Don'Tale Mayes,1497,1456,1481,0.071428571,0.0,14.893,0.25,0.0,42.036,0.071,14.893,0.25,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,28,10,2.8
Rafa Garcia,1497,1477,1489,0.0,0.091,19.227,1.091,0.091,72.045,0.0,19.227,1.091,0.091,0.0,1,9,6,423,988,12,54,3.97,3.38,0.0,4.36,0.28,22,8,2.75
Phil Hawes,1497,1501,1499,0.153846154,0.077,23.923,0.615,0.077,84.154,0.154,23.923,0.615,0.077,0.0,8,2,7,341,576,6,26,5.33,2.11,0.7,3.72,0.23,13,8,1.63
Tom Lawlor,1497,1496,1496,0.125,0.375,10.167,0.667,0.375,93.375,0.125,10.167,0.667,0.375,0.0,0,0,0,244,575,16,50,2.5,2.46,0.46,2.41,1.38,24,11,2.18
Matt Hughes,1497,1497,1497,0.058823529,0.314,10.412,0.922,0.314,138.588,0.059,10.412,0.922,0.314,0.078,0,0,0,436,817,13,80,2.14,2.95,0.22,1.36,1.18,51,25,2.04
CB Dollaway,1497,1481,1490,0.076923077,0.333,11.179,1.0,0.333,97.462,0.077,11.179,1.0,0.333,0.154,0,0,0,436,918,37,71,2.65,3.55,0.27,2.58,1.18,39,20,1.95
Todd Duffee,1497,1472,1487,0.5,0.0,15.25,0.125,0.0,20.125,0.5,15.25,0.125,0.0,0.0,9,0,0,124,333,13,4,5.93,0.72,2.87,2.87,0.0,8,6,1.33
Cat Zingano,1496,1530,1510,0.0,0.235,10.647,0.765,0.235,109.765,0.0,10.647,0.765,0.235,0.235,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,17,7,2.43
Modestas Bukauskas,1496,1485,1492,0.0,0.056,14.056,0.111,0.056,26.222,0.0,14.056,0.111,0.056,0.0,9,2,6,253,598,13,3,3.21,0.38,0.0,4.11,0.19,18,8,2.25
Wanderlei Silva,1496,1510,1502,0.321428571,0.036,11.607,0.071,0.036,9.286,0.321,11.607,0.071,0.036,0.0,0,0,0,289,905,13,4,3.1,0.32,1.29,7.65,0.16,28,12,2.33
Roy Nelson,1496,1505,1500,0.2,0.022,9.756,0.356,0.022,54.711,0.2,9.756,0.356,0.022,0.0,0,0,0,486,1327,16,62,2.18,1.14,0.61,4.79,0.13,45,19,2.37
Yves Jabouin,1496,1485,1491,0.047619048,0.0,14.286,0.619,0.0,78.048,0.048,14.286,0.619,0.0,0.19,0,0,0,427,1039,13,30,3.06,1.94,0.22,2.93,0.11,21,10,2.1
Justin Scoggins,1496,1496,1496,0.045454545,0.136,16.318,1.045,0.136,99.864,0.045,16.318,1.045,0.136,0.0,0,0,0,359,694,23,36,3.56,3.42,0.15,2.16,0.45,22,9,2.44
Sam Alvey,1496,1488,1493,0.134615385,0.019,14.577,0.019,0.019,15.058,0.135,14.577,0.019,0.019,0.019,19,3,14,758,1703,1,7,3.28,0.06,0.45,3.63,0.06,52,24,2.17
Andrew Sanchez,1496,1485,1491,0.107142857,0.0,19.893,0.786,0.0,86.929,0.107,19.893,0.786,0.0,0.0,7,2,0,557,1275,13,60,4.3,2.55,0.35,5.1,0.0,28,10,2.8
Shamil Abdurakhimov,1495,1487,1492,0.083333333,0.042,10.458,0.292,0.042,30.75,0.083,10.458,0.292,0.042,0.0,9,4,10,251,567,5,30,2.41,1.01,0.29,3.02,0.14,24,11,2.18
Jonathan Brookins,1495,1494,1495,0.0,0.1,12.6,0.6,0.1,120.6,0.0,12.6,0.6,0.1,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,10,5,2.0
Evan Dunham,1495,1496,1495,0.04,0.3,24.56,0.56,0.3,62.82,0.04,24.56,0.56,0.3,0.02,0,0,0,1228,3128,27,84,5.33,1.82,0.13,3.54,0.98,50,21,2.38
Antonina Shevchenko,1495,1468,1484,0.0,0.15,16.4,0.15,0.15,66.85,0.0,16.4,0.15,0.15,0.1,3,1,0,401,725,2,7,3.86,0.43,0.0,2.93,0.43,20,8,2.5
Sultan Aliev,1494,1510,1501,0.0,0.0,6.667,0.556,0.0,116.333,0.0,6.667,0.556,0.0,0.111,10,0,0,60,131,3,13,1.41,1.76,0.0,2.2,0.0,9,4,2.25
Ian McCall,1494,1475,1486,0.0,0.0,19.222,0.611,0.0,51.889,0.0,19.222,0.611,0.0,0.0,0,0,0,441,1124,11,56,3.59,2.08,0.0,3.25,0.0,18,6,3.0
Jason Knight,1494,1494,1494,0.125,0.542,14.083,0.417,0.542,47.417,0.125,14.083,0.417,0.542,0.125,3,13,0,338,1002,10,32,2.95,1.31,0.39,3.02,1.7,24,9,2.67
James Te Huna,1494,1481,1489,0.125,0.063,15.125,0.688,0.063,88.375,0.125,15.125,0.688,0.063,0.0,0,0,0,242,471,13,29,4.04,2.75,0.5,2.99,0.25,16,10,1.6
Juliana Lima,1494,1500,1496,0.0,0.0,9.3,0.55,0.0,108.0,0.0,9.3,0.55,0.0,0.15,0,0,0,186,422,11,35,1.94,1.72,0.0,2.11,0.0,20,7,2.86
Jeremy Stephens,1494,1492,1493,0.209302326,0.116,14.349,0.349,0.116,49.744,0.209,14.349,0.349,0.116,0.081,19,2,0,1234,3017,27,78,3.17,1.16,0.69,3.05,0.39,86,34,2.53
Valmir Lazaro,1494,1494,1494,0.0,0.0,24.333,0.444,0.0,32.333,0.0,24.333,0.444,0.0,0.0,0,0,0,219,587,13,10,4.87,1.33,0.0,4.09,0.0,9,3,3.0
Kyle Kingsbury,1493,1491,1492,0.045454545,0.0,13.818,0.818,0.0,59.091,0.045,13.818,0.818,0.0,0.0,0,0,0,304,744,13,43,2.97,2.64,0.15,3.81,0.0,22,9,2.44
Pannie Kianzad,1493,1503,1497,0.0,0.033,23.767,0.133,0.033,38.6,0.0,23.767,0.133,0.033,0.033,3,0,1,713,1448,13,12,4.88,0.41,0.0,4.09,0.1,30,11,2.73
Mauricio Rua,1493,1495,1494,0.233333333,0.067,14.8,0.45,0.067,61.45,0.233,14.8,0.45,0.067,0.0,21,1,0,1361,2670,21,105,3.57,2.01,0.87,2.79,0.71,60,24,2.5
Ross Pearson,1493,1495,1494,0.090909091,0.0,16.879,0.227,0.0,19.273,0.091,16.879,0.227,0.0,0.015,8,4,0,1114,2766,15,42,3.68,0.74,0.3,4.09,0.0,66,26,2.54
Lorenz Larkin,1493,1493,1493,0.130434783,0.0,17.0,0.043,0.0,15.391,0.13,17.0,0.043,0.0,0.087,0,0,0,594,1291,13,7,3.53,0.27,0.54,2.74,0.09,23,10,2.3
Martin Kampmann,1493,1529,1507,0.138888889,0.583,13.722,0.528,0.583,75.472,0.139,13.722,0.528,0.583,0.083,0,0,0,494,1166,13,46,3.22,1.86,0.49,3.28,2.05,36,17,2.12
SeungWoo Choi,1492,1497,1494,0.2,0.0,15.6,0.25,0.0,42.95,0.2,15.6,0.25,0.0,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,20,9,2.22
Mike Perry,1492,1487,1490,0.222222222,0.056,20.056,0.25,0.056,43.861,0.222,20.056,0.25,0.056,0.0,11,0,0,722,1522,4,22,4.32,0.81,0.72,5.16,0.18,36,15,2.4
Miguel Torres,1492,1487,1490,0.0,0.3,15.5,0.0,0.3,47.6,0.0,15.5,0.0,0.3,0.2,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,10,4,2.5
Ian Heinisch,1492,1515,1501,0.111111111,0.222,15.333,0.333,0.222,37.167,0.111,15.333,0.333,0.222,0.056,5,2,0,286,568,1,35,3.25,1.02,0.34,2.98,0.68,18,7,2.57
Jessica-Rose Clark,1492,1493,1492,0.0,0.087,17.522,0.522,0.087,106.565,0.0,17.522,0.522,0.087,0.087,3,2,0,403,781,4,28,3.73,1.66,0.0,3.51,0.28,23,9,2.56
Rashad Evans,1492,1502,1496,0.064516129,0.0,9.903,0.855,0.0,78.016,0.065,9.903,0.855,0.0,0.016,0,0,0,677,1793,53,141,2.14,2.98,0.19,2.42,0.0,62,23,2.7
Poliana Botelho,1492,1481,1487,0.066666667,0.0,13.6,0.267,0.0,55.333,0.067,13.6,0.267,0.0,0.0,6,0,4,204,348,1,7,2.9,0.85,0.21,2.8,0.0,15,7,2.14
Philip De Fries,1492,1480,1487,0.125,0.125,7.875,0.75,0.125,134.625,0.125,7.875,0.75,0.125,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,8,5,1.6
Rodrigo Damm,1492,1479,1487,0.0,0.105,18.211,0.158,0.105,14.526,0.0,18.211,0.158,0.105,0.0,0,0,0,0,0,0,0,3.56,1.59,0.34,3.45,0.57,19,7,2.71
Max Griffin,1492,1493,1492,0.170212766,0.085,17.511,0.426,0.085,46.043,0.17,17.511,0.426,0.085,0.064,9,2,7,813,1649,9,48,3.92,1.45,0.58,3.81,0.29,47,17,2.76
Daniel Omielanczuk,1491,1487,1490,0.083333333,0.042,13.833,0.167,0.042,31.125,0.083,13.833,0.167,0.042,0.083,0,0,0,332,579,4,15,3.09,0.56,0.28,3.29,0.14,24,9,2.67
Sarah Kaufman,1491,1491,1491,0.0,0.0,34.636,0.182,0.0,55.273,0.0,34.636,0.182,0.0,0.0,0,0,0,1062,2297,13,7,6.65,0.38,0.0,4.0,0.0,11,4,2.75
Michinori Tanaka,1491,1491,1491,0.0,0.067,9.867,0.8,0.067,122.0,0.0,9.867,0.8,0.067,0.467,0,0,0,148,395,13,31,1.97,2.4,0.0,1.99,0.2,15,5,3.0
Devin Clark,1491,1475,1485,0.071428571,0.024,14.0,0.667,0.024,85.262,0.071,14.0,0.667,0.024,0.024,4,1,2,588,1085,13,85,3.03,2.17,0.23,3.24,0.08,42,17,2.47
Erick Silva,1491,1479,1486,0.107142857,0.357,9.464,0.214,0.357,35.643,0.107,9.464,0.214,0.357,0.036,0,0,0,265,544,6,17,2.5,0.85,0.42,4.18,1.41,28,15,1.87
Charles Jourdain,1491,1491,1491,0.157894737,0.184,25.421,0.105,0.184,34.763,0.158,25.421,0.105,0.184,0.0,8,6,5,966,1975,13,19,5.43,0.34,0.51,4.27,0.59,38,15,2.53
Mike Easton,1491,1458,1478,0.05,0.0,17.55,0.25,0.0,28.3,0.05,17.55,0.25,0.0,0.05,0,0,0,351,947,13,22,3.51,0.75,0.15,4.28,0.0,20,7,2.86
Justin Tafa,1491,1484,1488,0.266666667,0.0,14.733,0.0,0.0,17.467,0.267,14.733,0.0,0.0,0.0,7,0,5,221,405,13,2,4.09,0.0,1.11,5.02,0.0,15,9,1.67
Jon Tuck,1491,1479,1486,0.086956522,0.304,14.087,0.13,0.304,49.043,0.087,14.087,0.13,0.304,0.043,0,0,0,324,809,3,9,3.0,0.42,0.28,3.74,0.97,23,9,2.56
Andrew Craig,1491,1491,1491,0.111111111,0.0,11.389,0.167,0.0,40.667,0.111,11.389,0.167,0.0,0.111,0,0,0,205,512,13,8,2.39,0.53,0.35,3.01,0.0,18,7,2.57
Jamie Mullarkey,1491,1496,1493,0.083333333,0.042,19.0,0.667,0.042,50.542,0.083,19.0,0.667,0.042,0.042,10,3,7,456,979,3,47,4.39,2.31,0.29,4.53,0.14,24,11,2.18
Ian Loveland,1491,1483,1488,0.222222222,0.111,13.556,0.333,0.111,60.889,0.222,13.556,0.333,0.111,0.111,0,0,0,122,304,13,8,2.71,1.0,0.67,2.36,0.33,9,3,3.0
Justin Ledet,1491,1494,1492,0.0,0.067,14.533,0.067,0.067,9.933,0.0,14.533,0.067,0.067,0.0,2,5,0,218,559,1,2,3.35,0.23,0.0,4.82,0.23,15,7,2.14
Devonte Smith,1491,1486,1489,0.2,0.1,16.3,0.1,0.1,20.7,0.2,16.3,0.1,0.1,0.0,10,0,7,197,371,13,4,4.55,0.35,1.04,3.91,0.35,10,6,1.67
Chico Camus,1490,1503,1496,0.0,0.125,12.583,0.25,0.125,74.458,0.0,12.583,0.25,0.125,0.208,0,0,0,302,733,13,15,2.58,0.77,0.0,2.46,0.39,24,8,3.0
Pawel Pawlak,1490,1485,1488,0.0,0.0,8.333,0.333,0.0,23.0,0.0,8.333,0.333,0.0,0.0,0,0,0,75,222,13,8,1.67,1.0,0.0,2.22,0.0,9,3,3.0
Marion Reneau,1490,1486,1489,0.0,0.25,15.167,0.194,0.25,33.389,0.0,15.167,0.194,0.25,0.028,5,3,1,546,1311,2,11,3.2,0.62,0.0,3.52,0.79,36,13,2.77
Hyun Gyu Lim,1490,1482,1487,0.266666667,0.067,19.067,0.067,0.067,5.2,0.267,19.067,0.067,0.067,0.0,0,0,0,286,697,1,1,4.45,0.23,0.93,5.07,0.23,15,7,2.14
Augusto Montano,1490,1482,1487,0.0,0.0,16.857,0.0,0.0,12.429,0.0,16.857,0.0,0.0,0.0,0,0,0,118,256,0,0,3.46,0.0,0.0,2.66,0.0,7,3,2.33
Maheshate,1490,1509,1498,0.166666667,0.0,18.083,0.0,0.0,0.25,0.167,18.083,0.0,0.0,0.0,4,1,2,266,907,13,2,3.86,0.0,0.44,5.64,0.0,12,5,2.4
Clifford Starks,1490,1490,1490,0.0,0.0,7.5,0.5,0.0,88.5,0.0,7.5,0.5,0.0,0.167,0,0,0,45,136,13,3,1.94,1.94,0.0,2.49,0.0,6,3,2.0
David Branch,1490,1507,1497,0.05,0.0,6.85,0.7,0.0,103.0,0.05,6.85,0.7,0.0,0.0,6,7,0,137,344,11,43,1.66,2.55,0.18,1.91,0.0,20,9,2.22
Stephanie Egger,1490,1500,1494,0.0,0.154,9.231,0.692,0.154,72.692,0.0,9.231,0.692,0.154,0.154,3,4,5,120,258,5,21,2.2,2.48,0.0,2.48,0.55,13,7,1.86
Gustavo Lopez,1490,1489,1489,0.0,0.2,10.7,0.5,0.2,19.1,0.0,10.7,0.5,0.2,0.0,6,5,0,107,266,13,12,2.48,1.74,0.0,3.87,0.7,10,4,2.5
Trevor Peek,1490,1490,1490,0.2,0.0,20.4,0.2,0.0,32.4,0.2,20.4,0.2,0.0,0.1,8,0,6,319,591,13,14,4.39,1.45,0.41,3.88,0.0,10,4,2.5
Johnny Bedford,1489,1487,1488,0.25,0.0,15.5,0.417,0.0,87.833,0.25,15.5,0.417,0.0,0.083,0,0,0,186,368,13,8,4.53,1.83,1.1,1.75,0.0,12,6,2.0
Miguel Baeza,1489,1477,1485,0.1875,0.563,17.375,0.125,0.563,10.813,0.188,17.375,0.125,0.563,0.0,7,0,4,339,685,1,9,4.09,0.36,0.9,5.92,1.99,16,7,2.29
Leandro Silva,1489,1488,1489,0.0,0.143,11.619,0.571,0.143,55.286,0.0,11.619,0.571,0.143,0.0,0,0,0,244,502,13,32,2.39,1.76,0.0,2.08,0.44,21,8,2.63
Sabina Mazo,1489,1494,1491,0.05,0.05,28.1,0.2,0.05,40.95,0.05,28.1,0.2,0.05,0.0,2,1,2,562,1285,13,5,6.1,0.65,0.16,4.35,0.16,20,7,2.86
Greg Hardy,1489,1474,1483,0.052631579,0.0,18.053,0.053,0.0,17.105,0.053,18.053,0.053,0.0,0.0,6,0,0,363,721,13,3,4.79,0.2,0.59,3.31,0.0,19,10,1.9
Jamall Emmers,1489,1482,1486,0.066666667,0.067,22.6,0.6,0.067,71.0,0.067,22.6,0.6,0.067,0.133,8,3,5,390,808,7,22,5.3,1.83,0.41,4.05,0.2,15,7,2.14
Jai Herbert,1489,1487,1488,0.2,0.0,14.2,0.15,0.0,51.8,0.2,14.2,0.15,0.0,0.0,9,1,4,284,670,13,13,3.16,0.5,0.67,3.37,0.0,20,8,2.5
Katsunori Kikuno,1489,1476,1484,0.0,0.125,9.875,0.5,0.125,71.75,0.0,9.875,0.5,0.125,0.125,0,0,0,189,468,13,12,2.64,1.88,0.21,2.47,0.84,8,5,1.6
Danielle Taylor,1489,1489,1489,0.0,0.067,13.733,0.067,0.067,0.067,0.0,13.733,0.067,0.067,0.0,0,0,0,206,699,1,5,2.75,0.2,0.0,3.31,0.2,15,5,3.0
Gabe Green,1489,1493,1491,0.166666667,0.083,28.417,0.25,0.083,31.833,0.167,28.417,0.25,0.083,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,12,5,2.4
Geraldo de Freitas,1489,1484,1487,0.0,0.0,18.333,1.0,0.0,58.444,0.0,18.333,1.0,0.0,0.222,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,9,3,3.0
Joseph Morales,1489,1489,1489,0.166666667,0.833,7.5,0.167,0.833,18.833,0.167,7.5,0.167,0.833,0.0,0,0,0,45,121,13,2,1.58,0.53,0.53,1.72,2.63,6,3,2.0
Christos Giagos,1489,1460,1477,0.037037037,0.111,13.074,0.815,0.111,77.37,0.037,13.074,0.815,0.111,0.074,8,4,5,353,844,1,60,3.03,2.84,0.13,3.21,0.39,27,14,1.93
Jimmy Flick,1488,1498,1492,0.0,0.778,7.444,0.333,0.778,29.556,0.0,7.444,0.333,0.778,0.0,0,15,8,94,188,13,23,1.94,1.55,0.0,5.43,4.34,9,5,1.8
Kron Gracie,1488,1488,1488,0.0,0.2,12.6,0.1,0.2,12.3,0.0,12.6,0.1,0.2,0.0,0,5,4,120,267,1,4,3.74,0.47,0.0,6.82,0.47,10,4,2.5
William Knight,1488,1477,1484,0.105263158,0.158,9.158,0.474,0.158,38.895,0.105,9.158,0.474,0.158,0.105,9,0,6,286,502,8,32,2.62,1.78,0.27,3.3,0.41,19,7,2.71
Justin Lawrence,1488,1481,1485,0.166666667,0.0,14.333,0.333,0.0,10.333,0.167,14.333,0.333,0.0,0.0,0,0,0,86,247,13,7,3.96,1.38,0.69,5.43,0.0,6,3,2.0
Amir Sadollah,1488,1484,1487,0.0,0.107,22.179,0.179,0.107,39.5,0.0,22.179,0.179,0.107,0.0,0,0,0,621,1336,13,18,4.71,0.57,0.0,3.55,0.34,28,11,2.55
Justin Salas,1488,1478,1484,0.083333333,0.0,14.083,0.667,0.0,35.0,0.083,14.083,0.667,0.0,0.0,0,0,0,169,391,13,39,3.42,2.43,0.3,2.96,0.0,12,7,1.71
Julian Marquez,1488,1481,1485,0.071428571,0.714,19.786,0.0,0.714,13.214,0.071,19.786,0.0,0.714,0.071,6,3,4,312,693,13,6,4.85,0.0,0.47,5.06,2.57,14,7,2.0
Bojan Velickovic,1488,1488,1488,0.055555556,0.167,10.833,0.222,0.167,25.667,0.056,10.833,0.222,0.167,0.167,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,18,6,3.0
Erick Montano,1488,1482,1486,0.0,0.0,10.429,0.571,0.0,68.0,0.0,10.429,0.571,0.0,0.143,0,0,0,73,164,13,11,2.79,2.29,0.0,2.06,0.0,7,3,2.33
